0.015144,
0.018026,
0.049186,
0.015005,
0.017546,
0.047018,
0.015156,
0.018189,
0.050477,
0.015089 0.015098,
0.017861 0.017918,
0.049486 0.052575,
0.015014,
0.017532,
0.046461,
0.015127,
0.017740,
0.054670,
0.015105,
0.017856,
0.049495,
0.015210,
0.017929,
0.051521,
0.015015,
0.017778,
0.045275,
0.015066,
0.017715,
0.046716,
0.015137,
0.017563,
0.046915,
0.014957,
0.017741,
0.039273,
