,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,871655163.0,918579408.0,890635720.0,892080634.0,911466150.0,891716684.0,885173066.0,889056116.0,1051841276.0,1124133722.0
3mm,754434968.0,957362636.0,650397530.0,729331107.0,908604945.0,710784090.0,675703616.0,704283267.0,1009399562.0,1141944425.0
atax,85728598.0,86424603.0,85840600.0,86132364.0,86500550.0,86085570.0,85950734.0,86058565.0,89696849.0,91175342.0
axpy,18178632.0,18135945.0,18127548.0,18127100.0,18161273.0,18127830.0,18145737.0,18132246.0,18160834.0,18853900.0
bicg,83252946.0,83920976.0,83492882.0,83772076.0,84120045.0,83711083.0,83408593.0,83625311.0,87319417.0,88591250.0
conv2d,136780993.0,136898788.0,136829286.0,136947249.0,137189286.0,136925117.0,136884084.0,136832414.0,137628667.0,138112408.0
gemm,-659422393.0,-557787422.0,-636634760.0,-620494305.0,-553284485.0,-620814198.0,-641849858.0,-633481415.0,-249756548.0,-102098621.0
rand,50085399.0,53167795.0,50850928.0,50751845.0,52020914.0,50765529.0,50245445.0,50808199.0,58032831.0,61820973.0
seq,23377098.0,26169623.0,24415493.0,24189953.0,25406091.0,24066607.0,23506609.0,24095665.0,28569237.0,34193695.0
