,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,808042.6484375,817016.9296875,810869.5078125,815534.046875,811577.828125,816427.3515625,810609.046875,817563.125,810524.8046875,810201.3515625
3mm,8111607.859375,8101315.265625,8096844.5078125,8093352.2578125,8101910.5390625,8096410.78125,8155977.921875,8091921.734375,8088583.46875,8108254.375
atax,1183327.84375,1186166.671875,1190471.703125,1187836.15625,1192470.6796875,1189636.140625,1190401.7890625,1196083.0703125,1189614.3359375,1193301.109375
axpy,281667.8359375,280129.6484375,281175.703125,282589.5625,283087.4140625,281498.1640625,281411.390625,282876.5546875,281411.140625,281177.875
bicg,1104887.859375,1099886.921875,1102481.5859375,1099964.7109375,1099856.6015625,1100486.53125,1100340.5625,1100964.0625,1101785.6953125,1100510.421875
conv2d,2060808.9375,2050357.1875,2051041.765625,2052307.515625,2046635.296875,2057230.484375,2052297.71875,2051153.6953125,2046495.7421875,2051709.171875
gemm,13833408.4609375,13822056.4453125,13818132.03125,13820572.0234375,13828057.046875,13820826.703125,13824097.640625,13823568.7421875,13829322.546875,13829631.3046875
rand,289170.2890625,287840.90625,291621.859375,287432.515625,288037.1875,288355.8203125,288918.8515625,293204.9375,290263.71875,287317.03125
seq,175735.5390625,176887.359375,176436.0,179806.0234375,176176.53125,174484.4375,183617.4453125,178630.7890625,176794.5234375,176522.1640625
