,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,797726.0,799699.0,798913.0,797880.0,798005.0,798886.0,798002.0,798315.0,798626.0,798319.0
3mm,7970158.0,7968345.0,7961771.0,7966038.0,7964762.0,7964240.0,7966007.0,7960033.0,7960162.0,7962717.0
atax,1163728.0,1164984.0,1166622.0,1165047.0,1165367.0,1166242.0,1166040.0,1165355.0,1165947.0,1165318.0
axpy,275028.0,275025.0,275532.0,274271.0,275187.0,275219.0,276272.0,275044.0,274500.0,274161.0
bicg,1088212.0,1089152.0,1089557.0,1089452.0,1089562.0,1088648.0,1088587.0,1089351.0,1089105.0,1088914.0
conv2d,2031400.0,2031707.0,2031267.0,2030463.0,2029896.0,2032198.0,2030917.0,2029312.0,2029998.0,2030863.0
gemm,13777230.0,13776584.0,13778311.0,13779060.0,13783575.0,13776150.0,13777890.0,13783204.0,13783878.0,13776608.0
rand,269031.0,268536.0,268627.0,268722.0,268145.0,266983.0,268418.0,268487.0,267227.0,267342.0
seq,143222.0,142463.0,143351.0,141677.0,143607.0,140855.0,142134.0,142939.0,143355.0,141801.0
