,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,861438.0,917980.0,871163.0,902536.0,900656.0,898886.0,904953.0,908574.0,903221.0,893708.0
3mm,8264673.0,8258898.0,8249414.0,8253394.0,8258674.0,8250459.0,14412250.0,8251170.0,8254389.0,8432273.0
atax,1265092.0,1255912.0,1269950.0,1293478.0,1264302.0,1269177.0,1282379.0,1267998.0,1273858.0,1280653.0
axpy,357411.0,315373.0,365416.0,365332.0,351937.0,356741.0,354572.0,355315.0,355677.0,359507.0
bicg,1181987.0,1153754.0,1151230.0,1176985.0,1150269.0,1178734.0,1147638.0,1149975.0,1148522.0,1180504.0
conv2d,2133447.0,2141829.0,2124102.0,2132162.0,2129338.0,2129160.0,2130126.0,2125705.0,2126963.0,2129865.0
gemm,13911094.0,13885669.0,13909325.0,13901270.0,13927888.0,13912180.0,13888312.0,13888507.0,13918139.0,13897516.0
rand,382767.0,369759.0,390912.0,371413.0,364116.0,398653.0,408445.0,420242.0,399758.0,396787.0
seq,260520.0,229088.0,233295.0,250947.0,257519.0,245858.0,269483.0,264626.0,254199.0,258424.0
