,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,877527431.703125,937047387.359375,894566560.140625,897493598.546875,919899752.140625,897738025.1171875,891181542.3515625,894897823.8828125,1065234285.4296875,1137073164.96875
3mm,922555232.5703125,1042962052.5859375,847596851.875,882219440.9140625,982633571.828125,868664614.1875,849944364.2890625,853156748.4921875,1138156584.1953125,1302044708.7421875
atax,86237664.0390625,86867323.6328125,86446627.203125,86600523.5859375,87114077.9609375,86533785.7578125,86364530.0078125,86463008.859375,90380383.9375,91848615.234375
axpy,18265125.5234375,18220728.5,18174100.84375,18187584.1953125,18205293.53125,18187230.765625,18189448.265625,18184378.75,18231033.234375,18957973.8515625
bicg,83754710.7578125,84461064.921875,84009101.140625,84215978.90625,84611013.8203125,84138169.6328125,83973422.34375,84076096.453125,87796497.1875,89264548.8515625
conv2d,136979121.078125,137183237.3515625,137063135.46875,137215105.3046875,137547893.171875,137198254.4375,137141817.0703125,137122255.40625,138089331.9453125,138536175.1875
gemm,-639453053.4140625,-529824770.578125,-618371031.1875,-603023895.296875,-533807727.2734375,-603702860.90625,-624661195.90625,-613388634.8984375,-204691063.1953125,-60164420.890625
rand,50475384.296875,53638049.90625,51169320.515625,51208054.25,52491352.0703125,51212241.03125,50475155.34375,51101256.109375,59923327.484375,64552315.171875
seq,23804624.2890625,26886281.3203125,24862922.453125,24705258.5390625,26100945.015625,24645604.734375,24071007.8203125,24569485.75,31383922.09375,35213990.7890625
