,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,83570450.9453125,83074763.359375,83584426.6796875,84098419.3515625,84831045.71875,84063165.0,83791658.7578125,83610401.0703125,89446446.59375,93434088.921875
3mm,555197627.546875,554845515.671875,555619076.3359375,556727629.265625,557851354.359375,556909261.71875,556170810.8828125,555744233.75,561408620.4765625,563684749.6015625
atax,19723651.2421875,19721325.5078125,19713609.7734375,19733043.9609375,19782873.9609375,19757744.0,19716434.65625,19701656.4921875,19953523.3671875,20060807.578125
axpy,4560874.84375,4569833.359375,4567302.578125,4566319.7578125,4571218.1875,4568334.6484375,4560809.2265625,4579797.7265625,4563696.421875,4676411.9921875
bicg,19101366.453125,19126313.6875,19082861.015625,19119844.671875,19153514.71875,19110384.6171875,19083567.046875,19101677.8984375,19307241.765625,19425870.0859375
conv2d,33903018.8359375,33904028.484375,33899390.703125,33915142.2890625,33979067.3828125,33916964.421875,33901595.7734375,33890749.1640625,34044676.9921875,34076058.71875
gemm,943894600.8984375,968191379.96875,964708240.1484375,965969212.15625,966392773.5625,964678792.859375,954841513.59375,960002644.4921875,973488372.90625,978858494.734375
rand,8002708.2890625,9115844.984375,8468427.171875,8725810.5234375,9342438.171875,8733364.1484375,8279673.296875,8520692.0546875,11356912.046875,12061199.125
seq,4851265.1015625,5430458.703125,5114933.7265625,5171029.890625,5574943.671875,5178915.6875,4989112.0234375,5099673.140625,6842160.6171875,7569049.3828125
