,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,883448122.0,948114150.0,900622672.0,905301182.0,924244445.0,905498663.0,899302120.0,901152344.0,1074230875.0,1164210628.0
3mm,1046110426.0,1243868729.0,970341269.0,1001900384.0,1212086272.0,991861864.0,1036000176.0,1004455520.0,1383459692.0,1421630358.0
atax,86763278.0,87763081.0,87191987.0,87295422.0,88158510.0,87236671.0,87375590.0,87082094.0,91328484.0,92782129.0
axpy,18399566.0,18537308.0,18271328.0,18522662.0,18359449.0,18542345.0,18345517.0,18535178.0,18561627.0,19325584.0
bicg,84309768.0,85268888.0,84918123.0,84859630.0,85491822.0,84694602.0,84874675.0,84826271.0,88561346.0,90487409.0
conv2d,137213996.0,138084405.0,137645137.0,137924625.0,138322278.0,137800476.0,137695906.0,137725485.0,139088761.0,139302133.0
gemm,-600352315.0,-466908626.0,-590667022.0,-570758090.0,-478780533.0,-565915952.0,-584150048.0,-586452294.0,-151014949.0,-5264089.0
rand,50846090.0,54573600.0,51747541.0,51968488.0,53565756.0,51922044.0,51106549.0,51593886.0,61557953.0,67713688.0
seq,24420286.0,29683345.0,25529675.0,25292907.0,27908622.0,25459311.0,24724885.0,25222463.0,32246579.0,36648592.0
