,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,83840464.0,83825608.0,85004532.0,85046957.0,85812710.0,84939914.0,84394489.0,84776021.0,91677364.0,95488243.0
3mm,555787182.0,555912934.0,556869634.0,557956487.0,558796812.0,558403511.0,559454634.0,557491816.0,563440016.0,565215161.0
atax,19833251.0,19837656.0,20747984.0,20036541.0,20201293.0,20717953.0,20043641.0,19811212.0,20659136.0,20602641.0
axpy,4613140.0,4652262.0,5103886.0,4714182.0,4664400.0,5352257.0,4662406.0,5401817.0,4649795.0,4780036.0
bicg,19208509.0,20118414.0,19672242.0,19834891.0,19790400.0,19606001.0,19441440.0,19769146.0,19767075.0,19972073.0
conv2d,34039104.0,34978882.0,34459742.0,34356763.0,34421637.0,34337037.0,34241651.0,34333285.0,34526848.0,34420415.0
gemm,972950070.0,984063643.0,982212611.0,983418679.0,985781410.0,985046630.0,982275735.0,981733126.0,998781096.0,999953282.0
rand,8625257.0,9512409.0,8869740.0,9028383.0,9715234.0,9026118.0,8797245.0,8923935.0,11668316.0,12707136.0
seq,5124132.0,5906663.0,5336564.0,5399885.0,5794824.0,5822222.0,5229887.0,5392672.0,7062312.0,7961036.0
