,none,2mm,3mm,atax,axpy,bicg,conv2d,gemm,rand,seq
2mm,83020679.0,82635157.0,83196357.0,83746607.0,84154558.0,83814249.0,83235690.0,83199595.0,87966888.0,91857339.0
3mm,554583571.0,553993355.0,554666676.0,555583188.0,557003165.0,555655585.0,555547574.0,554258064.0,559810006.0,560765183.0
atax,19650350.0,19660178.0,19631657.0,19660469.0,19722347.0,19662358.0,19655239.0,19645246.0,19872068.0,19949491.0
axpy,4517555.0,4514436.0,4514390.0,4522024.0,4518872.0,4520257.0,4519444.0,4517850.0,4520985.0,4624900.0
bicg,19043555.0,19027953.0,19017203.0,19046621.0,19085102.0,19037682.0,19019387.0,19021390.0,19219691.0,19305510.0
conv2d,33852740.0,33824964.0,33837976.0,33850976.0,33918188.0,33858441.0,33803527.0,33826170.0,33892515.0,33891043.0
gemm,933388097.0,942765345.0,938225484.0,935928511.0,938925979.0,939678137.0,935515796.0,934309945.0,943458351.0,954446894.0
rand,7527245.0,8870518.0,8134755.0,8473596.0,9163158.0,8472692.0,8015840.0,8252784.0,11184053.0,11782787.0
seq,4650740.0,5202577.0,4944440.0,4973306.0,5164901.0,4981510.0,4772854.0,4918679.0,6694252.0,7338658.0
