0.014911,0.015340,0.017969,0.025389,0.043993,0.078979,0.149124,0.289198,0.568882,1.129399,2.249942,
0.015475,0.015564,0.018030,0.025216,0.044921,0.079139,0.149252,0.289203,0.569015,1.129723,2.250177,
0.015564,0.016599,0.018445,0.025631,0.044237,0.079466,0.149367,0.289038,0.569247,1.129416,2.249691,
0.014832,0.015422,0.017800,0.025230,0.043795,0.078933,0.149050,0.288951,0.569292,1.129117,2.250228,
0.015569,0.016029,0.018323,0.025747,0.044187,0.079085,0.149291,0.289263,0.569136,1.129356,2.249662,
0.016371,0.016874,0.019199,0.025781,0.044501,0.079317,0.149431,0.289341,0.569677,1.130021,2.249918,
0.014892,0.015292,0.017934,0.025135,0.044023,0.078934,0.148837,0.289099,0.569084,1.129290,2.249959,
0.015877,0.016604,0.018594,0.025586,0.044339,0.079317,0.149483,0.289102,0.569648,1.129651,2.249835,
0.018016,0.018134,0.019972,0.026474,0.044723,0.079349,0.149208,0.289186,0.569543,1.129560,2.249946,
0.014900,0.015572,0.017872,0.025190,0.044032,0.078912,0.148959,0.289217,0.569272,1.129661,2.249461,
0.016051,0.016461,0.018506,0.025333,0.044459,0.079162,0.149059,0.289207,0.569462,1.129709,2.250031,
0.017620,0.018545,0.019410,0.026503,0.044865,0.079496,0.149357,0.289335,0.569564,1.129571,2.249976,
0.015028,0.015414,0.017910,0.025287,0.044033,0.078991,0.149020,0.288990,0.569051,1.129241,2.249396,
0.016650,0.016826,0.018969,0.025709,0.044812,0.079123,0.149398,0.289291,0.569444,1.129461,2.250272,
0.019790,0.020594,0.021306,0.027701,0.045158,0.079828,0.149543,0.289663,0.569733,1.129850,2.250249,
0.014959,0.015692,0.017950,0.025272,0.043983,0.079218,0.148911,0.289005,0.569060,1.129577,2.250114,
0.016147,0.016304,0.019082,0.025851,0.044330,0.079186,0.149389,0.289208,0.569795,1.129562,2.249772,
0.019315,0.019997,0.020905,0.027500,0.044840,0.079739,0.149410,0.289555,0.569847,1.129763,2.250648,
0.014905,0.015527,0.017751,0.025201,0.044288,0.078889,0.148899,0.288852,0.569345,1.129632,2.249284,
0.017093,0.017477,0.019420,0.026074,0.044467,0.079365,0.149133,0.289297,0.569355,1.129776,2.250409,
0.038726,0.030880,0.035277,0.038350,0.050113,0.080762,0.150120,0.290003,0.570434,1.130127,2.250753,
0.014830,0.015264,0.017667,0.025165,0.044102,0.079053,0.149195,0.288878,0.568944,1.129538,2.249525,
0.017249,0.017362,0.019237,0.026059,0.045131,0.079300,0.149399,0.289354,0.569321,1.129641,2.250095,
0.033274,0.028510,0.037326,0.038760,0.048779,0.080752,0.150167,0.290306,0.570010,1.130094,2.251226,
0.015041,0.015421,0.017931,0.025176,0.044133,0.079135,0.148987,0.288929,0.568931,1.129383,2.249972,
0.017138,0.017481,0.019031,0.025850,0.044607,0.079464,0.149195,0.289296,0.569259,1.129508,2.250189,
0.034664,0.034862,0.029453,0.036141,0.048419,0.080789,0.150021,0.290350,0.570346,1.130545,2.250870,
